Food Item,Calories,Protein,Carbs,Fat
1.0,124,21.45,0.0,3.61
1.0,173,22.24,0.0,8.67
1.0,195,20.56,0.0,11.92
1.0,184,20.56,0.0,10.68
10.0,102,4.37,19.05,1.08
1.0,310,16.32,0.0,26.63
1.0,279,17.18,0.0,22.75
1.0,148,22.06,0.0,5.93
0.0,155,21.22,0.0,7.17
1.0,237,19.32,0.0,17.1
1.0,224,20.59,0.0,15.04
1.0,158,22.17,0.0,7.07
100.0,456,5.2,75.0,15.4
1.0,171,28.05,0.0,5.65
1.0,372,14.52,0.0,34.39
1.0,342,15.32,0.0,30.71
60.0,524,11.4,54.94,28.71
10.0,50,1.44,10.52,0.21
3.0,51,0.4,12.67,0.03
60.0,533,0.17,0.86,59.81
2.0,65,2.36,5.76,3.58
80.0,253,3.29,84.0,2.9
9.0,99,3.98,18.64,1.15
14.0,244,11.02,25.38,10.9
80.0,713,0.22,0.75,80.17
1.0,128,21.75,0.0,3.85
4.0,596,6.54,0.0,63.27
100.0,45,0.27,10.91,0.12
0.0,109,21.1,0.0,2.1
12.0,47,0.47,11.28,0.0
1.0,143,20.88,0.0,5.94
70.0,884,0.0,0.0,100.0
2.0,61,2.78,5.64,3.23
20.0,66,1.97,7.21,3.34
1.0,174,30.18,0.0,4.96
2.0,50,3.3,4.8,1.98
0.0,141,21.57,0.0,5.47
9.0,639,5.54,0.97,68.07
100.0,467,4.5,73.2,17.9
0.0,145,21.22,0.0,6.06
10.0,50,1.46,10.66,0.21
51.0,159,5.82,31.51,1.5
1.0,152,31.47,0.0,1.92
3.0,37,0.6,8.8,0.06
0.0,165,21.22,0.0,8.29
1.0,169,19.98,0.0,9.23
0.0,113,21.4,0.0,2.4
100.0,462,4.1,72.4,20.1
3.0,443,2.59,75.94,15.17
60.0,526,0.6,0.0,59.17
80.0,248,4.8,85.19,2.59
2.0,65,1.7,8.54,2.7
80.0,330,6.59,54.46,9.58
25.0,386,5.09,78.19,9.89
1.0,274,18.15,0.0,21.83
14.0,243,12.12,23.1,11.35
100.0,421,10.55,73.65,11.62
4.0,594,6.0,0.0,63.3
2.0,50,3.3,4.8,1.98
40.0,330,2.0,2.0,35.0
1.0,203,28.73,0.0,9.16
1.0,177,29.45,0.0,5.67
100.0,388,8.42,80.57,5.52
0.0,186,27.89,0.0,7.4
1.0,148,22.12,0.0,5.91
0.0,124,23.59,0.0,3.26
0.0,212,33.36,0.0,7.67
1.0,208,20.69,0.0,13.27
100.0,412,9.66,74.67,10.38
0.0,125,22.89,0.0,3.72
1.0,153,22.22,0.0,6.5
0.0,169,20.95,0.05,9.3
0.0,297,28.94,0.0,19.17
16.0,248,13.63,27.35,9.33
1.0,243,17.06,0.0,18.89
1.0,243,26.96,0.0,14.23
0.0,228,19.26,0.12,16.71
1.0,149,22.5,0.23,6.48
1.0,135,22.77,0.0,4.88
1.0,330,23.1,0.0,25.63
1.0,315,22.73,0.0,24.2
0.0,177,28.41,0.0,6.14
0.0,186,28.22,0.0,7.25
1.0,341,26.78,0.0,25.12
1.0,180,28.17,0.0,6.67
0.0,149,21.67,0.0,6.93
0.0,164,21.17,0.0,8.82
0.0,198,28.04,0.0,8.7
0.0,225,28.04,0.0,11.7
1.0,211,25.48,0.0,11.32
1.0,209,24.61,0.0,11.57
1.0,288,32.35,0.0,16.64
0.0,135,23.3,0.0,4.66
0.0,149,22.93,0.0,6.34
0.0,174,27.53,0.0,6.2
0.0,299,28.36,0.0,20.57
0.0,203,29.9,0.0,8.37
1.0,225,31.27,0.0,10.1
1.0,192,26.53,0.0,8.75
0.0,238,17.69,0.35,18.44
0.0,222,18.43,0.36,16.31
1.0,128,21.44,0.0,4.68
1.0,138,21.34,0.0,5.82
0.0,224,28.79,0.0,12.08
0.0,250,28.84,0.0,14.95
0.0,147,21.72,0.0,6.67
1.0,155,21.65,0.0,7.64
1.0,173,20.93,0.0,9.97
1.0,665,6.65,0.0,70.61
0.0,185,27.23,0.0,7.63
0.0,223,33.08,0.0,9.03
0.0,206,34.93,0.0,6.3
1.0,140,22.15,0.0,5.38
1.0,133,20.45,0.0,5.1
1.0,214,34.66,0.0,7.36
0.0,358,23.53,0.0,28.5
1.0,164,19.1,0.0,9.09
1.0,267,26.46,0.0,17.12
1.0,324,23.9,0.0,24.6
0.0,195,20.06,0.0,12.78
0.0,174,20.87,0.0,10.11
